data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,event_type_2,Police Involved?,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin2-rev,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
320672,788,TUN384,384,26-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Sidi El Bechir,Sidi El Bechir,,Kasbah,36.8,10.1675,1,Radio France Internationale,International,"In the Kasbah, thousands of peaceful protesters continued to demand the departure of Prime Minister Ghannouchi.",0,1515624294,TUN
320673,788,TUN385,385,26-Feb-11,2011,1,Riots/Protests,Riot,0,Police Forces of Tunisia (2011-2014),,1,Rioters (Tunisia),,5,15,Northern Africa,Tunisia,Tunis,Sidi El Bechir,Sidi El Bechir,,Kasbah,36.8,10.1675,1,Radio France Internationale,International,"Violent clashes erupted between some demonstrators and security forces in La Kasbah, killing three people. The Interior Ministry blamed the acts of violence against the police to ""a group of agitators infiltrated the ranks of peaceful demonstrators.""",3,1515624294,TUN
320674,788,TUN386,386,26-Feb-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Kasserine,Ezzouhour,Ezzouhour-Kasserine,,Kasserine,35.1676,8.8365,2,Al Jazeera TV,International,RiotsÃÂ in the central region of Kasserine on 25 and 26 February.,0,1515624294,TUN
320675,788,TUN387,387,26-Feb-11,2011,1,Riots/Protests,Riot,0,Police Forces of Tunisia (2011-2014),Military Forces of Tunisia (2011-2014),1,Rioters (Tunisia),,5,15,Northern Africa,Tunisia,Tunis,Bab el Bhar,Bab el Bhar,,La Medina,36.8,10.1833,1,Agence France Presse; La Presse (Tunis),National-International,Five people were killed in clashes on 26 February between demonstrators and security forces inÃÂ TunisiasÃÂ capital. Security forces had fired warning shots and tear gas at the youths armed with knives and stones who wanted to force the headquarters of the Interior Ministry. Soldiers arrived at the scene to back up police.,5,1515624294,TUN
320676,788,TUN388,388,26-Feb-11,2011,1,Riots/Protests,Riot,0,Police Forces of Tunisia (2011-2014),,1,Rioters (Tunisia),,5,15,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,1,Radio France Internationale,International,Clashes with police were reported on Avenue Bourguiba in Tunis on 26 February.,0,1515624294,TUN
320668,788,TUN380,380,25-Feb-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,Police Forces of Tunisia (2011-2014),,1,15,Northern Africa,Tunisia,Tunis,Sidi El Bechir,Sidi El Bechir,,Kasbah,36.8,10.1675,1,Reuters,International,Day of rage protest leads to riots. Clashes between police and protesters left 21 police officers injured and three police stations damaged.,0,1515624294,TUN
320669,788,TUN381,381,25-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Sidi El Bechir,Sidi El Bechir,,Kasbah,36.8,10.1675,1,BBC Monitoring Middle East,National,Protest against provisional government,0,1515624294,TUN
320670,788,TUN382,382,25-Feb-11,2011,1,Riots/Protests,Riot,0,Rioters (Tunisia),,5,,,0,50,Northern Africa,Tunisia,Kasserine,Ezzouhour,Ezzouhour-Kasserine,,Kasserine,35.1676,8.8365,2,Al Jazeera TV,International,RiotsÃÂ in the central region of Kasserine on 25 and 26 February.,0,1515624294,TUN
320671,788,TUN383,383,25-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),Journalists (Tunisia),6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,1,Al Jazeera TV,International,Journalists atÃÂ TunisiasÃÂ state television began a sit-inÃÂ protestÃÂ against their managers saying they want a new editorial policy reflecting the ongoing democratic changes that resulted from the uprising against the deposed President Zine El Abidine Ben Ali.,0,1515624294,TUN
320666,788,TUN378,378,22-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Bourgil,36.8206,10.1934,1,Agence France Presse,International,"At the same time, protesters, mostly students, gather outside the Libyan embassy in Tunis for the second consecutive day, to show their support for the uprising in Libya against Moamer Kadhafis regime.",0,1515624294,TUN
320667,788,TUN379,379,22-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,1,Agence France Presse,International,"Dozens of Tunisians demonstrated on the capitals Habib Bourguiba Avenue to support Libyans calls for Kadhafi to go, describing him as an ""executioner"" and chanting ""Tunisians and Libyans, same people, same future"". ",0,1515624294,TUN
320665,788,TUN377,377,21-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Bab Souika,Bab Souika,,Tunis,36.819,10.1658,1,Agence France Presse,International,"About 100 Tunisians demonstrated in front of the Libyan embassy in the capital Tunis, chanting slogans against veteran ruler Moamer Kadhafi and backing demands for him to quit.",0,1515624294,TUN
320663,788,TUN375,375,20-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,Police Forces of Tunisia (2011-2014),,1,16,Northern Africa,Tunisia,Tunis,Sidi El Bechir,Sidi El Bechir,,Kasbah,36.8,10.1675,1,La Presse (Tunis); States News Service; The Associated Press,National-International,Thousands protest the provisional government. Police briefly fired warning shots to disperse the crowd that defied government warnings not to challenge emergency measures enacted as the 23-year regime of President Zine El Abidine Ben Ali came down last month.,0,1515624294,TUN
320664,788,TUN376,376,20-Feb-11,2011,1,Riots/Protests,Protest,0,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Tunis,Manouba,Manouba,,Manouba,36.808,10.0972,2,BBC Monitoring,National,Protests against murder of Catholic priest,0,1515624294,TUN
